976.000 C+ 101.8160 NaVII Sodium
199.000 C+ 102.0430 NaVIII Sodium
1060.000 B 102.2260 NaVII Sodium
448.000 C+ 102.3900 NaVII Sodium
417.000 C+ 102.4480 NaVII Sodium
96.400 D 103.0020 NaVI Sodium
280.000 C 103.0780 NaVI Sodium
440.000 C 103.2100 NaVI Sodium
1080.000 C+ 103.3540 NaVII Sodium
867.000 C+ 103.4000 NaVII Sodium
180.000 C 103.7790 NaVII Sodium
248.000 C 103.8420 NaVII Sodium
419.000 C+ 103.8910 NaVII Sodium
492.000 C 104.0000 NaVII Sodium
267.000 C 104.0360 NaVII Sodium
1420.000 C+ 104.8710 NaVII Sodium
1420.000 B 104.9550 NaVII Sodium
164.000 D+ 105.1110 NaVII Sodium
1180.000 B 105.2050 NaVII Sodium
329.000 C 105.3540 NaVII Sodium
2870.000 B 106.0400 NaVI Sodium
2850.000 B 106.0770 NaVI Sodium
2840.000 B 106.1250 NaVI Sodium
644.000 D+ 106.2780 NaV Sodium
641.000 D+ 106.3020 NaV Sodium
278.000 C+ 107.0140 NaVI Sodium
143.000 C 107.0610 NaVII Sodium
1480.000 C+ 107.0610 NaVI Sodium
247.000 C 107.0930 NaVII Sodium
558.000 C+ 107.0930 NaVI Sodium
86.400 C 107.1580 NaVI Sodium
117.000 C+ 107.1580 NaVIII Sodium
660.000 C+ 107.2270 NaVI Sodium
1430.000 B 107.2880 NaVI Sodium
1170.000  107.5350 NaVI Sodium
1650.000 B 107.5530 NaVI Sodium
2210.000 B+ 107.6080 NaVI Sodium
2570.000 B+ 107.6830 NaVI Sodium
318.000 C+ 107.7420 NaVI Sodium
628.000 C+ 107.9340 NaVI Sodium
258.000 D 107.9340 NaV Sodium
385.000 D+ 108.0170 NaV Sodium
359.000 D+ 108.0170 NaV Sodium
853.000 B 108.0790 NaVII Sodium
315.000 C+ 108.1930 NaVII Sodium
314.000 C 108.3730 NaVII Sodium
2450.000 B+ 108.5550 NaVI Sodium
384.000 C+ 108.7330 NaVII Sodium
369.000 C+ 108.8290 NaVII Sodium
272.000 C 109.3620 NaVII Sodium
339.000 C+ 109.5190 NaVII Sodium
67.100 D 109.7630 NaVI Sodium
2950.000 B+ 109.8960 NaVI Sodium
277.000 C 110.6470 NaVII Sodium
705.000 C 110.7500 NaVI Sodium
332.000 C+ 110.7780 NaVII Sodium
695.000 D+ 110.8170 NaV Sodium
55.300 D+ 110.8170 NaVII Sodium
745.000 C 110.8780 NaV Sodium
189.000 D 110.9210 NaV Sodium
287.000 C 111.2110 NaVII Sodium
317.000 C 111.3900 NaVII Sodium
174.000 D 111.5120 NaV Sodium
168.000 D 111.5520 NaV Sodium
455.000 C 112.0090 NaVI Sodium
17.700 E 112.0090 NaVI Sodium
315.000 C 112.0090 NaVI Sodium
632.000 C+ 112.0090 NaVI Sodium
180.000 C 112.0090 NaVI Sodium
847.000 C+ 112.0090 NaVI Sodium
995.000 C+ 112.4480 NaVI Sodium
576.000 B+ 112.9500 NaVI Sodium
416.000 C 113.1250 NaVI Sodium
1680.000 C+ 114.6660 NaVI Sodium
395.000 D+ 114.7000 NaV Sodium
329.000 D 114.7380 NaV Sodium
124.000 C 115.3610 NaVII Sodium
103.000 C 115.4750 NaVII Sodium
471.000 C+ 115.7290 NaVI Sodium
334.000 C 115.7800 NaVI Sodium
1320.000 B 117.4910 NaVI Sodium
1180.000 B 117.6090 NaVI Sodium
1110.000 B 117.6990 NaVI Sodium
3.660 C 117.9090 NaVIII Sodium
228.000 C 117.9900 NaV Sodium
85.500 D+ 118.5000 NaVI Sodium
111.000 C 118.5850 NaVI Sodium
87.800 C 118.8400 NaVII Sodium
97.200 D+ 118.9020 NaVII Sodium
98.400 C 119.0140 NaVII Sodium
343.000 C 119.2040 NaVI Sodium
98.100 D+ 119.2040 NaVII Sodium
1730.000 B 119.6840 NaVI Sodium
1110.000 B 120.9310 NaVI Sodium
808.000 C+ 120.9730 NaVI Sodium
604.000 C 121.0040 NaVI Sodium
223.000 C 121.7730 NaVI Sodium
221.000 C 121.9130 NaVI Sodium
220.000 C 122.0180 NaVI Sodium
23.800 D+ 122.0180 NaVII Sodium
9.460 D 122.2520 NaVII Sodium
302.000 C+ 123.1340 NaVI Sodium
79.400 C+ 123.7440 NaVI Sodium
105.000 C+ 123.8680 NaVI Sodium
238.000 C+ 123.9290 NaVI Sodium
78.300 C+ 123.9700 NaVI Sodium
563.000 C+ 124.0590 NaVI Sodium
132.000 C+ 124.1530 NaVI Sodium
32.200 D+ 124.5320 NaVII Sodium
300.000 D 124.8500 NaVI Sodium
1600.000 C+ 125.1780 NaV Sodium
1580.000 B 125.2160 NaV Sodium
1180.000 B 125.2860 NaV Sodium
726.000 C+ 125.3830 NaVI Sodium
553.000 C+ 125.8990 NaV Sodium
542.000 D+ 126.0900 NaV Sodium
575.000 C 126.2100 NaV Sodium
401.000 D+ 126.3680 NaV Sodium
238.000 D 126.4580 NaV Sodium
271.000 C 126.5570 NaV Sodium
342.000 C 126.6080 NaV Sodium
569.000 D+ 126.7790 NaV Sodium
24.100 D+ 126.7790 NaVII Sodium
883.000 C 126.8140 NaV Sodium
19.300 D 126.8140 NaVII Sodium
1050.000 D+ 126.9200 NaV Sodium
378.000 D+ 126.9850 NaV Sodium
523.000 D+ 127.0360 NaV Sodium
702.000 C+ 127.4440 NaV Sodium
753.000 C+ 127.4730 NaV Sodium
368.000 C+ 127.8370 NaVI Sodium
1250.000 B 128.0250 NaV Sodium
967.000 B 128.0510 NaV Sodium
121.000 C 129.0400 NaVI Sodium
514.000 C 129.9420 NaV Sodium
549.000 C+ 130.6800 NaV Sodium
419.000 C 130.7230 NaV Sodium
357.000  131.3450 NaV Sodium
294.000  131.4130 NaV Sodium
493.000 C+ 131.6350 NaV Sodium
367.000 C 131.6350 NaV Sodium
521.000 C+ 133.1620 NaV Sodium
364.000 C+ 133.3880 NaV Sodium
178.000 C 133.8250 NaVI Sodium
165.000 C 134.0210 NaVI Sodium
215.000 D+ 134.1350 NaVI Sodium
53.500 D+ 134.1830 NaV Sodium
96.900 C 134.2720 NaV Sodium
112.000 C 134.5320 NaVI Sodium
592.000  135.7910 NaV Sodium
506.000  135.8540 NaV Sodium
174.000 D+ 136.42950 NaIV Sodium
208.000 D+ 136.55130 NaIV Sodium
104.000 D 136.63590 NaIV Sodium
68.800 D 136.75400 NaIV Sodium
38.800 D 136.85470 NaIV Sodium
156.000 D+ 136.85470 NaIV Sodium
64.600 D 137.05730 NaIV Sodium
116.000 D+ 137.05730 NaIV Sodium
85.900 D 137.14290 NaIV Sodium
195.000 C 137.5890 NaVI Sodium
168.000 C 137.71170 NaIV Sodium
225.000 C 138.6930 NaVI Sodium
169.000 C 138.8120 NaV Sodium
321.000 C 138.9170 NaV Sodium
21.700 D+ 139.8670 NaVII Sodium
717.000 C 140.1710 NaV Sodium
765.000 C 140.2580 NaV Sodium
132.000 C 140.8330 NaVI Sodium
67.600 E 141.0400 NaVI Sodium
306.000 C 142.23150 NaIV Sodium
277.000 C 142.35930 NaIV Sodium
101.000 E 142.4150 NaV Sodium
170.000 D+ 142.68510 NaIV Sodium
579.000 C 144.3300 NaV Sodium
404.000 C 144.5460 NaV Sodium
241.000 D+ 144.6610 NaV Sodium
7.400 E 146.06440 NaIV Sodium
268.000 C 146.06440 NaIV Sodium
66.900 D 146.06440 NaIV Sodium
200.000 C 146.30150 NaIV Sodium
79.700 C 146.3980 NaVI Sodium
147.000 D+ 146.39910 NaIV Sodium
148.000 B+ 147.8970 NaV Sodium
130.000 B+ 148.6420 NaV Sodium
129.000 B+ 148.8560 NaV Sodium
128.000 B+ 149.0010 NaV Sodium
29.800 A 149.4420 NaVI Sodium
26.500 A 149.6210 NaVI Sodium
238.000 C+ 150.29810 NaIV Sodium
