4.000 E 291.7690 MoV Molybdenum
0.328  291.9160 MoVI Molybdenum
17.000 E 292.5180 MoV Molybdenum
39.000 E 292.5340 MoV Molybdenum
60.000 E 292.8370 MoV Molybdenum
16.000 E 293.1340 MoV Molybdenum
22.000 E 293.4620 MoV Molybdenum
16.500  293.6250 MoVI Molybdenum
19.600  293.6600 MoVI Molybdenum
50.000 E 293.8790 MoV Molybdenum
14.000 E 294.0880 MoV Molybdenum
5.000  294.1370 MoVI Molybdenum
4.100 E 294.2400 MoV Molybdenum
20.000 E 294.3690 MoV Molybdenum
150.000 D 294.7130 MoV Molybdenum
4.000 E 295.3280 MoV Molybdenum
35.000 E 296.0870 MoV Molybdenum
9.000 E 296.2970 MoV Molybdenum
38.700  296.6730 MoVI Molybdenum
13.000  296.7200 MoVI Molybdenum
17.000 E 296.8080 MoV Molybdenum
50.000 E 297.3380 MoV Molybdenum
3.100 E 297.6530 MoV Molybdenum
5.000 E 297.9900 MoV Molybdenum
80.000 E 298.3400 MoV Molybdenum
11.800  298.9630 MoVI Molybdenum
7.000 E 299.9740 MoV Molybdenum
5.000 E 300.1480 MoV Molybdenum
70.000 E 301.1060 MoV Molybdenum
8.100  301.4830 MoVI Molybdenum
4.000 E 302.1880 MoV Molybdenum
11.000 E 302.7300 MoV Molybdenum
8.000 E 302.9920 MoV Molybdenum
2.150  303.1470 MoVI Molybdenum
3.500 E 303.6760 MoV Molybdenum
2.780  303.8500 MoVI Molybdenum
5.000 E 304.0580 MoV Molybdenum
9.950  304.2990 MoVI Molybdenum
11.000 E 304.9670 MoV Molybdenum
16.000 E 305.1740 MoV Molybdenum
11.400  305.5390 MoVI Molybdenum
7.000 E 306.0830 MoV Molybdenum
23.000 E 306.1060 MoV Molybdenum
80.000 D 306.3390 MoV Molybdenum
11.000 E 307.0630 MoV Molybdenum
5.000 E 307.2370 MoV Molybdenum
2.800 E 307.2660 MoV Molybdenum
33.000 E 307.6980 MoV Molybdenum
0.080 E 308.9170 MoV Molybdenum
80.000 D 309.2930 MoV Molybdenum
2.400 E 310.2900 MoV Molybdenum
0.800 E 310.4410 MoV Molybdenum
0.900 E 310.9700 MoV Molybdenum
23.000 E 312.4230 MoV Molybdenum
22.000 E 312.6420 MoV Molybdenum
15.000 E 312.7040 MoV Molybdenum
6.000 E 312.8420 MoV Molybdenum
11.000 E 312.9980 MoV Molybdenum
37.000 E 313.0530 MoV Molybdenum
7.000 E 313.2690 MoV Molybdenum
12.200  313.9440 MoVI Molybdenum
17.000 E 314.6300 MoV Molybdenum
1.300 E 314.7510 MoV Molybdenum
63.200  314.9560 MoVI Molybdenum
11.000 E 315.1310 MoV Molybdenum
24.000 E 315.5890 MoV Molybdenum
9.000 E 316.1670 MoV Molybdenum
21.000 E 316.4280 MoV Molybdenum
2.720  316.6610 MoVI Molybdenum
6.000 E 316.7480 MoV Molybdenum
50.000 E 317.1180 MoV Molybdenum
0.900 E 317.2020 MoV Molybdenum
2.100 E 317.2020 MoV Molybdenum
30.700  317.3020 MoVI Molybdenum
2.720  317.5090 MoVI Molybdenum
10.000 E 317.6320 MoV Molybdenum
7.000 E 317.7500 MoV Molybdenum
8.120  318.5780 MoVI Molybdenum
35.000 E 318.8320 MoV Molybdenum
70.000 D 319.0370 MoV Molybdenum
6.730  319.9260 MoVI Molybdenum
2.850  320.1330 MoVI Molybdenum
1.900 E 320.2430 MoV Molybdenum
3.200 E 320.4680 MoV Molybdenum
15.000 E 320.5990 MoV Molybdenum
2.400 E 320.9100 MoV Molybdenum
0.190 E 321.8320 MoV Molybdenum
16.000 E 321.9490 MoV Molybdenum
1.000 E 321.9940 MoV Molybdenum
8.000 E 322.9270 MoV Molybdenum
40.000 E 322.9930 MoV Molybdenum
1.500  323.0920 MoVI Molybdenum
1.800 E 323.4860 MoV Molybdenum
5.000 E 323.7540 MoV Molybdenum
0.217  323.7560 MoVI Molybdenum
1.800 E 324.0420 MoV Molybdenum
14.000 E 324.7030 MoV Molybdenum
0.800 E 324.9790 MoV Molybdenum
0.180 E 325.0160 MoV Molybdenum
0.172  325.3240 MoVI Molybdenum
3.820  325.9400 MoVI Molybdenum
0.422  326.4870 MoVI Molybdenum
6.000 E 326.7860 MoV Molybdenum
2.300 E 327.1670 MoV Molybdenum
10.000 E 328.0500 MoV Molybdenum
1.200 E 328.1670 MoV Molybdenum
5.000 E 328.1670 MoV Molybdenum
8.000 E 328.4490 MoV Molybdenum
0.450  328.7050 MoVI Molybdenum
0.050  328.8670 MoVI Molybdenum
20.000 E 328.9960 MoV Molybdenum
11.000 E 329.3420 MoV Molybdenum
19.000 E 329.7110 MoV Molybdenum
3.670  329.8270 MoVI Molybdenum
2.800 E 329.8680 MoV Molybdenum
1.400 E 330.0130 MoV Molybdenum
2.200 E 330.1750 MoV Molybdenum
2.200 E 330.3810 MoV Molybdenum
9.000 E 330.7100 MoV Molybdenum
0.236  331.6850 MoVI Molybdenum
0.600 E 331.8170 MoV Molybdenum
0.600 E 332.0460 MoV Molybdenum
0.213  332.5680 MoVI Molybdenum
0.900 E 332.6670 MoV Molybdenum
0.000  332.6680 MoVI Molybdenum
1.800 E 332.8010 MoV Molybdenum
16.000 E 333.1110 MoV Molybdenum
2.700 E 333.2080 MoV Molybdenum
2.100 E 333.4020 MoV Molybdenum
0.300 E 333.4240 MoV Molybdenum
1.200 E 334.0760 MoV Molybdenum
5.000 E 334.0930 MoV Molybdenum
1.600 E 334.7260 MoV Molybdenum
5.000 E 335.0980 MoV Molybdenum
1.700 E 335.1860 MoV Molybdenum
18.000 E 335.3630 MoV Molybdenum
0.071  335.4510 MoVI Molybdenum
1.100 E 336.2150 MoV Molybdenum
13.000 E 336.2790 MoV Molybdenum
0.700 E 337.1980 MoV Molybdenum
7.780  337.4460 MoVI Molybdenum
9.000 E 337.6180 MoV Molybdenum
9.000 E 337.7700 MoV Molybdenum
0.400 E 338.0770 MoV Molybdenum
2.600 E 338.2870 MoV Molybdenum
1.000 E 338.3270 MoV Molybdenum
7.000 E 338.3730 MoV Molybdenum
8.250  338.8340 MoVI Molybdenum
8.000 E 339.4710 MoV Molybdenum
7.000 E 339.5100 MoV Molybdenum
10.000 E 339.6100 MoV Molybdenum
1.700 E 339.8700 MoV Molybdenum
4.000 E 340.4090 MoV Molybdenum
1.800 E 341.6740 MoV Molybdenum
1.600 E 341.7020 MoV Molybdenum
2.700 E 341.7020 MoV Molybdenum
11.000 E 342.4600 MoV Molybdenum
0.500 E 342.9730 MoV Molybdenum
14.000 E 343.2660 MoV Molybdenum
2.100 E 344.0690 MoV Molybdenum
0.300 E 344.1780 MoV Molybdenum
7.000 E 344.6750 MoV Molybdenum
1.900 E 345.2040 MoV Molybdenum
7.000 E 345.4680 MoV Molybdenum
0.014  346.0950 MoVI Molybdenum
11.000 E 347.0420 MoV Molybdenum
2.200 E 347.4410 MoV Molybdenum
0.141  348.1280 MoVI Molybdenum
0.800 E 348.2130 MoV Molybdenum
1.400 E 349.0280 MoV Molybdenum
0.700 E 349.1370 MoV Molybdenum
0.122  349.2170 MoVI Molybdenum
0.094  349.3620 MoVI Molybdenum
0.120 E 349.8350 MoV Molybdenum
14.000 E 350.1130 MoV Molybdenum
0.014 E 350.1130 MoV Molybdenum
1.100 E 350.3600 MoV Molybdenum
0.190 E 350.6420 MoV Molybdenum
0.028  351.2900 MoVI Molybdenum
0.180 E 351.9710 MoV Molybdenum
0.400 E 352.0230 MoV Molybdenum
0.900 E 354.0770 MoV Molybdenum
1.800 E 358.3470 MoV Molybdenum
1.300 E 358.8870 MoV Molybdenum
5.000 E 359.8300 MoV Molybdenum
3.200 E 359.8390 MoV Molybdenum
2.600 E 360.3830 MoV Molybdenum
2.000 E 360.4620 MoV Molybdenum
13.000 E 360.7660 MoV Molybdenum
0.140 E 361.1150 MoV Molybdenum
4.000 E 361.7030 MoV Molybdenum
