(34709779.92) AA 288.103238000 ArXVIII Argon
4106160  2579.0000 ArXV Argon
4113330  2579.0000 ArXV Argon
4109660  2592.70000 ArXV Argon
3812140  2623.2000 ArXI Argon
3828850  2627.3000 ArXIV Argon
4149860  2704.40000 ArXV Argon
4085000  2722.0000 ArXIV Argon
3885390  2742.4000 ArXIV Argon
3640470  2746.90000 ArXIV Argon
3641780  2763.10000 ArXIV Argon
3598550  2778.9000 ArXI Argon
3598550  2778.9000 ArXI Argon
3598550  2778.9000 ArXI Argon
3579400  2793.8000 ArX Argon
3558600  2810.1000 ArX Argon
3954400  2822.3000 ArXIV Argon
3980760  2834.0000 ArXV Argon
3505210  2852.90000 ArXI Argon
3885390  2877.6000 ArXIV Argon
3885390  2878.4000 ArXIV Argon
3435200  2911.0000 ArX Argon
3433730  2920.7000 ArXIII Argon
3649520  2920.9000 ArXIII Argon
3644840  2924.9000 ArXIII Argon
3433730  2930.9000 ArXIII Argon
3410800  2931.9000 ArXIII Argon
3432510  2932.0000 ArXIII Argon
3429230  2934.80000 ArXIII Argon
3410800  2940.4000 ArXIII Argon
3469220  2954.9000 ArXIII Argon
3390500  2968.5000 ArXIII Argon
3432510  2987.3000 ArXIII Argon
3394740  3021.4000 ArXIII Argon
3720820  3021.5000 ArXIV Argon
3390500  3025.3000 ArXIII Argon
3466830  3026.0000 ArXIII Argon
3705800  3034.4000 ArXIV Argon
3379900  3035.0000 ArXIII Argon
3267760  3060.2000 ArXII Argon
3233538  3092.59000 ArX Argon
3190100  3134.7000 ArXII Argon
3187350  3137.40000 ArXII Argon
3276700  3146.1000 ArXII Argon
3271350  3148.1000 ArXII Argon
3175950  3148.7000 ArXII Argon
3171153  3153.43000 ArX Argon
3173390  3151.20000 ArIX Argon
3264720  3154.7000 ArXII Argon
3171153  3171.50000 ArX Argon
3258510  3164.20000 ArXII Argon
3156570  3168.00000 ArIX Argon
3160180  3186.4000 ArXIII Argon
3226750  3196.3000 ArXII Argon
3221580  3198.2000 ArXII Argon
3533890  3201.40000 ArXIV Argon
3534840  3201.40000 ArXIV Argon
3276700  3202.4000 ArXII Argon
3271350  3202.9000 ArXII Argon
3264720  3214.8000 ArXII Argon
3106170  3219.4000 ArXI Argon
3177200  3234.0000 ArXIII Argon
3189920  3234.4000 ArXII Argon
3175950  3245.6000 ArXII Argon
3226750  3254.5000 ArXII Argon
3221580  3254.8000 ArXII Argon
3061255  3266.63000 ArIX Argon
3048079  3280.75000 ArX Argon
3044540  3284.57000 ArIX Argon
2979740  3356.0000 ArIX Argon
(34709828.00) AA 3358.4070000 ArXVIII Argon
(34709779.92) AA 3358.8917000 ArXVIII Argon
2987530  3367.9000 ArXI Argon
2968000  3369.3000 ArXI Argon
(34709828.00) AA 3371.4420000 ArXVIII Argon
(34709779.92) AA 3371.47368000 ArXVIII Argon
2969540  3384.0000 ArXI Argon
2968000  3385.8000 ArXI Argon
2968000  3390.2000 ArXI Argon
2945040  3395.5000 ArXI Argon
2958500  3396.7000 ArXI Argon
2933510  3408.9000 ArXI Argon
2932610  3409.9000 ArXI Argon
2922000  3422.3000 ArXI Argon
2933510  3425.8000 ArXI Argon
2932610  3426.8000 ArXI Argon
2932610  3431.4000 ArXI Argon
2913070  3432.8000 ArXI Argon
2911870  3434.2000 ArXI Argon
2911870  3451.4000 ArXI Argon
2958500  3464.2000 ArXI Argon
2883920  3467.50000 ArXII Argon
2875200  3478.0000 ArXII Argon
2945040  3480.4000 ArXI Argon
2867000  3488.0000 ArXII Argon
2958030  3492.6000 ArXII Argon
2855980  3501.43000 ArIX Argon
2922000  3508.6000 ArXI Argon
2836234  3525.80000 ArIX Argon
2826300  3538.19000 ArXI Argon
2826250  3538.26000 ArXI Argon
2823187  3542.10000 ArIX Argon
2826250  3556.45000 ArXI Argon
2958030  3560.2000 ArXII Argon
2958030  3566.4000 ArXII Argon
2956650  3568.1000 ArXII Argon
2790788  3583.22000 ArIX Argon
2912070  3625.8000 ArXII Argon
2735750  3655.3000 ArX Argon
2721001  3675.12000 ArIX Argon
2738560  3675.8000 ArX Argon
3165910  3676.50000 ArXII Argon
2704217  3697.93000 ArIX Argon
2671580  3743.10000 ArX Argon
2677780  3759.80000 ArX Argon
2663010  3780.8000 ArX Argon
2615600  3823.21000 ArX Argon
2604370  3839.7000 ArXI Argon
2603400  3841.1000 ArX Argon
2592278.  3857.61000 ArX Argon
2603400  3868.0000 ArX Argon
2589610  3861.59000 ArXI Argon
2649800  3879.0000 ArXI Argon
2587340  3886.7000 ArXI Argon
2644510  3887.0000 ArXI Argon
2587340  3892.5000 ArXI Argon
(34276006.42) AA 3931.1566000 ArXVIII Argon
(34276010.83) AA 3931.7396000 ArXVIII Argon
(34273609.1) AA 3934.8649000 ArXVIII Argon
(34273526.13) AA 3935.5844000 ArXVIII Argon
(34276827.516) AA 3947.71706000 ArXVIII Argon
(34276829.01) AA 3947.7462000 ArXVIII Argon
(34276010.83) AA 3948.99023000 ArXVIII Argon
2604370  3948.6000 ArXI Argon
(34276006.42) AA 3949.0286000 ArXVIII Argon
(34273609.1) AA 3952.7707000 ArXVIII Argon
(34273526.13) AA 3952.8688000 ArXVIII Argon
(34277238.066) AA 3953.01699000 ArXVIII Argon
(34276827.516) AA 3953.65864000 ArXVIII Argon
(34276010.83) AA 3954.93564000 ArXVIII Argon
2589610  3971.76000 ArXI Argon
2587340  3975.3000 ArXI Argon
2649800  3998.0000 ArXI Argon
2483300  4026.90000 ArXI Argon
2411101.4  4147.48000 ArIX Argon
2405420  4157.3000 ArX Argon
