(1720186.68841) AA 5813.322512000 BeIV Beryllium
(1720184.50175) AA 5813.329901000 BeIV Beryllium
(1707247.04668) AA 5857.383101000 BeIV Beryllium
(1707243.57429) AA 5857.395014000 BeIV Beryllium
(1685787.023070) AA 5931.947431000 BeIV Beryllium
(1685781.02269) AA 5931.968545000 BeIV Beryllium
(1646280.88582) AA 6074.297580000 BeIV Beryllium
(1646269.16610) AA 6074.340822000 BeIV Beryllium
(1560928.30867) AA 6406.444130000 BeIV Beryllium
(1560900.52810) AA 6406.558150000 BeIV Beryllium
(1317073.002568) AA 7592.593562000 BeIV Beryllium
(1316979.24398) AA 7593.134095000 BeIV Beryllium
1074522+x  71465.000 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
1074186+x  71637.000 BeII Beryllium
1074186+x  71637.000 BeII Beryllium
1074186+x  71637.000 BeII Beryllium
1121184. AAA 72554.000 BeIII Beryllium
1121184. AAA 72559.000 BeIII Beryllium
1121184. AAA 72562.000 BeIII Beryllium
137796.12 A 72570.98000 BeII Beryllium
137795.97 A 72571.06000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1070336+x  73669.000 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
1112385+x  74190.00 BeII Beryllium
134485.61 A 74357.4000 BeII Beryllium
134485.37 A 74357.5000 BeII Beryllium
1131462. AAA 74622.000 BeIII Beryllium
1131383. AAA 74666.000 BeIII Beryllium
1067182+x  75421.000 BeII Beryllium
1067182+x  75421.000 BeII Beryllium
1067182+x  75421.000 BeII Beryllium
1127705. AAA 76775.000 BeIII Beryllium
128972.05 A 77536.2000 BeII Beryllium
128971.62 A 77536.4000 BeII Beryllium
(1685787.01290) AA 80072.71576000 BeIV Beryllium
(1685787.023070) AA 80073.85579000 BeIV Beryllium
(1685781.41051) AA 80076.30797000 BeIV Beryllium
(1685781.02269) AA 80077.70331000 BeIV Beryllium
(1685789.00879) AA 80089.22190000 BeIV Beryllium
(1685789.01240) AA 80089.24907000 BeIV Beryllium
(1685787.023070) AA 80090.495617000 BeIV Beryllium
(1685787.01290) AA 80090.53163000 BeIV Beryllium
(1685781.41051) AA 80094.12544000 BeIV Beryllium
(1685781.02269) AA 80094.344738000 BeIV Beryllium
(1685790.00844) AA 80094.51852000 BeIV Beryllium
(1685789.00879) AA 80095.15981000 BeIV Beryllium
(1685787.023070) AA 80096.433717000 BeIV Beryllium
1102105+x  80317.000 BeII Beryllium
1102105+x  80317.000 BeII Beryllium
1102105+x  80317.000 BeII Beryllium
